Gene,placenta_1,placenta_2,Uterus_D14_1,Uterus_D14_2,Uterus_D14_3,placenta_term_1,placenta_term_2,placenta_term_3,placenta_term_4,PTR2_1,PTR2_2,PTR2_3,sTO01_1,sTO01_2,sTO02_1,sTO02_2,sTO02_3,sTO03_1,sTO03_2,sTO03_3
LEXM,0.023772161,0,0.035637761,0.078591593,0.13740103,0,0,0,0.014739126,0,0,0,0.020964421,0,0.032346231,0,0,0.01780068,0,0
TTC22,0.048120768,0.068605234,7.28610925,7.159002256,7.101684862,0.04187994,9.59E-03,0.0106456,0.079561754,0.22932372,0.410480672,0.350627175,0.155603081,0.231106918,0.229168866,0.22210414,0.214544662,0.22820907,0.157067221,0.20083759
ENSSSCG00000059328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000058945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARS2,1.111086382,0.846924922,3.809607082,2.958029205,3.4208187,1.23506467,1.592355382,1.153565813,1.582404479,1.896056878,1.680834636,2.073016401,2.299264891,1.860284479,2.492273558,2.383889662,2.29703008,2.73484393,2.348319635,2.532886004
TTC4,4.502595108,3.081876776,4.965774359,4.424635085,5.320955248,3.27594117,3.130576312,3.492674798,4.267539527,6.890548568,6.238261638,6.214946155,7.106958404,6.437288933,9.014263389,8.696664479,9.259487189,8.94429803,8.733692494,8.827499821
MROH7,0,0,0.149038198,0.219114951,0.139549424,0.01390541,0,0,0.022014097,0.028200901,0,0,0,0,0,0,0,0,0,0
FAM151A,1.502468233,0.940766062,0.263795527,0.357997292,0.375530217,0.73332284,8.10E-03,1.275644037,0.083923848,0,0,0,0.03581111,0,0.018417783,9.37E-03,0.060348639,0.06081372,0.06185337,0.06590852
ACOT11,0.597148164,0.672116353,7.962637774,6.580642255,4.856271347,0.83767998,1.080922429,1.682602194,1.568655039,1.868051167,2.038310273,1.993907041,4.365392215,4.631523259,4.026991556,4.043593404,4.036360228,2.29456904,1.805486222,1.71616625
ENSSSCG00000042140,0,0,0.0884466,0.048762598,0.051150747,0.01925503,8.82E-03,0,0,0.035145185,0,0,0,0,0,0.010211623,0,0,0,0
SSBP3,8.308595595,6.660417366,22.0772317,22.91783625,21.40616386,2.0718897,2.184265333,1.723615902,2.313531842,1.81775002,2.359142635,2.39258903,10.8899814,7.673794189,12.90295157,12.3864312,12.95415708,14.5963273,14.77116032,15.12355139
MRPL37,6.688654632,6.056954968,10.46738663,9.588581275,9.246904992,5.17924503,5.247182476,4.96668967,7.201878882,26.87564432,27.22524295,27.81559259,12.69410727,11.43663633,14.76735983,15.22108576,14.38374095,16.6020172,15.48336064,15.58686085
CYB5RL,1.160071643,1.424813373,5.616848976,3.316962031,4.349262895,0.67535455,0.928295979,0.780320819,1.253850823,3.386781445,4.129748799,4.017614723,3.649818171,3.827868516,4.820771551,4.167730973,4.566390731,4.71896936,4.482395853,4.863502569
CDCP2,0,0.01084173,0.106402646,0.089389971,0.25786158,0.01985495,0.024258883,6.73E-03,0.037719589,0,0,7.64E-03,0,0,0,0,0,7.59E-03,0,0
TCEANC2,1.450021296,1.267126566,1.588957939,1.484381129,1.684708129,0.73988407,0.545918765,0.649708629,0.7256185,2.315093399,2.066424233,2.457809164,3.329965472,3.315451262,3.946021046,3.587535237,3.894234138,3.52741162,3.570096654,3.558395027
TMEM59,64.9351592,62.67925255,20.76044243,24.95447802,23.67934617,42.426348,34.14932795,44.74852957,52.55894356,42.11540575,42.24294634,41.33711126,31.00785339,40.14661242,47.72042177,42.29412247,45.78273334,37.6229708,39.20896566,36.34819355
